"corpus","user/lx262/gnu_en_de_terms_v04__english"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"separately",7.030,2,251113,83.759,11.048
"regiment",7.020,1,116016,41.880,5.104
"helpless",7.000,1,116418,41.880,5.122
"playful",7.000,1,116424,41.880,5.122
"mutually",7.000,1,116509,41.880,5.126
"prohibition",6.930,1,117950,41.880,5.189
"amusing",6.930,1,117973,41.880,5.190
"discontinue",6.890,1,118702,41.880,5.223
"encryption",6.890,1,118718,41.880,5.223
"translation",6.880,4,534171,167.518,23.502
"addictive",6.870,1,119145,41.880,5.242
"deny",6.840,7,954828,293.157,42.010
"mercy",6.800,2,260497,83.759,11.461
"sake",6.750,3,403495,125.639,17.753
"referee",6.750,1,121609,41.880,5.350
"printer",6.750,3,403616,125.639,17.758
"tribute",6.700,2,264714,83.759,11.647
"thus",6.680,20,2830908,837.591,124.552
"terminology",6.660,1,123641,41.880,5.440
"contributor",6.650,2,266892,83.759,11.743
"incentive",6.590,4,558064,167.518,24.553
"community",6.580,50,7218043,2093.978,317.574
"misuse",6.530,1,126551,41.880,5.568
"individually",6.510,2,273047,83.759,12.013
"useless",6.510,2,273159,83.759,12.018
"component",6.440,12,1754631,502.555,77.199
"outrage",6.410,1,129267,41.880,5.687
"replacement",6.380,5,727231,209.398,31.996
"monopoly",6.370,1,130201,41.880,5.728
"cooperation",6.370,3,429070,125.639,18.878
"purely",6.340,2,281036,83.759,12.365
"lucrative",6.310,1,131727,41.880,5.796
"deficiency",6.310,2,282662,83.759,12.436
"cope",6.300,3,433871,125.639,19.089
"reliability",6.300,2,283045,83.759,12.453
"spy",6.260,2,285143,83.759,12.546
"conclusion",6.190,7,1057594,293.157,46.531
"spreadsheet",6.170,1,135288,41.880,5.952
"qualify",6.170,7,1061541,293.157,46.705
"punish",6.160,2,289833,83.759,12.752
"desktop",6.150,3,444941,125.639,19.576
"Player",6.140,1,136068,41.880,5.987
"harmony",6.130,2,291524,83.759,12.826
"usual",6.110,7,1072395,293.157,47.182
"indirect",6.080,1,137530,41.880,6.051
"rightly",6.050,1,138478,41.880,6.093
"dependence",6.040,1,138653,41.880,6.100
"whichever",6.030,1,138774,41.880,6.106
"Want",6.010,1,139361,41.880,6.132
"disclaimer",6.010,1,139444,41.880,6.135
"nobody",6.010,5,773382,209.398,34.027
"rhetoric",5.990,1,139899,41.880,6.155
"friendship",5.990,3,457899,125.639,20.146
"nonprofit",5.980,2,299568,83.759,13.180
"algorithm",5.980,2,299575,83.759,13.180
"Digital",5.970,3,459078,125.639,20.198
"contradiction",5.940,1,141453,41.880,6.224
"ordinary",5.930,4,623261,167.518,27.422
"liberty",5.910,2,303187,83.759,13.339
"Photoshop",5.880,1,142879,41.880,6.286
"spelling",5.880,1,142936,41.880,6.289
"fee",5.840,15,2425339,628.193,106.708
"entitle",5.840,4,633430,167.518,27.869
"widget",5.820,1,144812,41.880,6.371
"likewise",5.820,3,472145,125.639,20.773
"mask",5.810,3,472531,125.639,20.790
"adapt",5.810,4,636569,167.518,28.007
"remotely",5.800,1,145282,41.880,6.392
"Richard",5.770,5,805952,209.398,35.460
"Kit",5.760,1,146371,41.880,6.440
"obedience",5.760,1,146522,41.880,6.447
"control",5.750,38,6270457,1591.423,275.883
"limit",5.740,18,2966305,753.832,130.509
"permit",5.710,8,1313938,335.036,57.810
"unfamiliar",5.690,1,148477,41.880,6.533
"betray",5.690,1,148660,41.880,6.541
"morality",5.680,1,148954,41.880,6.554
"erase",5.650,1,149696,41.880,6.586
"purpose",5.640,18,3018805,753.832,132.819
"module",5.630,4,657200,167.518,28.915
"living",5.590,8,1343188,335.036,59.097
"jurisdiction",5.580,2,322662,83.759,14.196
"dictionary",5.570,1,152121,41.880,6.693
"reverse",5.570,4,664911,167.518,29.254
"encourage",5.560,14,2377705,586.314,104.613
"drastically",5.560,1,152566,41.880,6.712
"compute",5.490,1,154948,41.880,6.817
"donate",5.480,4,675683,167.518,29.728
"technical",5.470,8,1372400,335.036,60.382
"economically",5.440,1,156393,41.880,6.881
